ID1||codigo||descripcion||detalle||plataforma||servidor||base||esquema||tabla||campo||tipo_dato||largo||permite_null||golden_record||usuario_modificacion_detalle||usuario_modificacion_atributo||fecha_modificacion_detalle||fecha_modificacion_atributo
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||gr_dim_tipo_doc||txt_desc_tipo_doc||VarChar||4||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||gr_fact_demografico||id_tipo_doc||Int||4||SI||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||PORTAFOLIO_BURO||TIPO_DOC||VarChar||10||SI||0||21008||21008||2025-05-08||2025-05-08
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ANALITICA||GYEINTNEGDB01||STAGING||dbo||CALIFICACION_CARTERA||TRA_TIPOID||VarChar||5||SI||0||0||22812||||2025-07-28
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ANALITICA||GYEINTNEGDB01||STAGING||dbo||FACT_IVC_ESTRATEGICO||IDENTIFICACION||Char||20||SI||0||21008||22812||2024-05-17||2025-07-24
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ANALITICA||GYEWMDMDB01||BG_MDM_Clientes||Personas||BG_TB_CONTACTABILIDAD_CELULARES||IDENTIFICACION||VarChar||20||SI||0||0||20465||||2024-10-07
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ANALITICA||GYEWMDMDB01||BG_MDM_Clientes||Personas||BG_TB_Gr_Dim_Tipo_Doc||txt_desc_tipo_doc||VarChar||50||NO||1||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ANALITICA||GYEWMDMDB01||BG_MDM_Clientes||Personas||BG_TB_Gr_Fact_Demografico||id_tipo_doc||Int||-||SI||1||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||BI02||GYEBI02||ITINERIBUS||dbo||TB_DOMINIO_CLIENTES_AD_HIST||TIPO_ID||VarChar||1||SI||0||17782||17782||2024-10-01||2024-10-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_cash||||contratos_beneficiarios||tipoid_beneficiario||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_cash||||empresas_cash||tipo_identificacion||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_cash||||tbl_tarjetascuentas_matriculadascash||tipoid_beneficiario||VarChar||1-3||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_cash||||usuarios||tipo_ident||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_cash||||usuarios_cash||tipo_ident||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_crm||||ContactExtensionBase||CFPtipoidentificacion||Int||1||SI||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_crm||||itb_acumestab_datgen||itb_si_tipo_identificacion||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_crm||||sg_tb_cliente||cl_cod_doc_oficial||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_crm||||tsinergiaseguroshist||strtipoident||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_neo_comercial||||bg_per_personas||idcattipoidentificacion||Int||2||SI||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_ods||||ackmaes_mensual||actipide||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_ods||||clkdato_diario||clkdato_tipo_ident_alterno||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_ods||||cltefil_diario||cltpid||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_ods||||maestro_diario||mttipide||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_ods||||makcuen_mensual||makcuen_tipo_identificacion||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_ods||||saldsob_diario||sldsob_mttipide||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_ods||||sokdeud_diario||sokdeud_tipo_identifica||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_tarjetas||||cl_clientes||cl_tipoident||VarChar||1||NO||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_tarjetas||||cl_clientes_score||cl_tipoident||VarChar||1||SI||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_tarjetas||||db_atrnautorizalog_yyyymm||la_tipoidentifica||VarChar||1||SI||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_tarjetas||||tc_atrnautorizalog||la_tipoidentifica||VarChar||1||SI||0||0||20234||||2024-01-01
1||1||Tipo de documento de identificación||Clase de documento expedido por un ente público, que identifica al cliente. ** EJEMPLO:  (C) Cédula (R) RUC (P) Pasaporte.||ORACLE||DATALAKE||bbdd_tarjetas||||tc_atrnautorizalog_bck||la_tipoidentifica||VarChar||1||SI||0||0||20234||||2024-01-01
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||CAMPAÑAS||dbo||INGRESOS_PERSONAS_NATURALES||ACTIVIDAD_ECONOMICA||VarChar||2800||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||CAMPAÑAS||PRODUCCION||INGRESOS_PERSONAS_NATURALES||ACTIVIDAD_ECONOMICA||VarChar||2800||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||BGGRUPO\anl_grazuri||baseline_emp_dep||ACTIVIDAD_ECONOMICA||VarChar||5000||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||BGGRUPO\anl_grazuri||tmp_grp_contactabilidad||ACTIVIDAD_ECONOMICA||VarChar||5000||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||BGGRUPO\anl_grazuri||tmp_grp_fidei_rs_det||actividad_economica||VarChar||1200||SI||0||0||20234||||2024-05-17
