ID1||plataforma||servidor||base||esquema||tabla||descripcion||data_owner||data_steward||fecha_creacion||num_columnas||columnas_documentadas||avance||clasificacion||fecha_Proceso||estado||used_mb
1||ANALITICA||GYEINTNEGDB01||CONSULTA_EMPRESAS||dbo||t_AuditoriaTablas||||||||2024-10-10||7||0||0.0||TRB||2025-05-12||P||0.09
1||ANALITICA||GYEINTNEGDB01||ContactabilidadP||dbo||tmpcargachubb||||||||2024-08-19||20||0||0.0||TMP||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||DW_DIM_FECHA_CARPETA_SPI||||||||2023-09-07||8||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||LakeHouse||dbo||TB_SALDOS_DETALLE_CONCEDIDO||||||||2025-04-04||40||0||0.0||TRB||2025-05-12||P||325.73
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||TC_GARANTIA_GRADUACION||||||||2022-09-09||197||13||0.065989||TRB||2025-05-12||P||0.99
1||ANALITICA||GYEINTNEGDB01||CAMPAÑAS||dbo||chubb_listado_final||||||||2021-01-27||16||6||0.375||TRB||2025-05-12||P||0.1
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||POLIZAS_MARZO_ABRIL_MAYO||||||||2024-07-04||4||0||0.0||TRB||2025-05-12||P||7.42
1||ANALITICA||GYEINTNEGDB01||CAMPAÑAS||dbo||SRI_ESTABLECIMIENTOS_BG_RESPALDO||||||||2024-08-15||34||0||0.0||TRB||2025-05-12||P||2775.47
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||eb_equifax_motivos||||||||2023-05-10||2||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||REPETIDOS_202110||||||||2021-11-19||40||5||0.125||TRB||2025-05-12||P||0.3
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||TEMP_CACT_RESPALDO_t_estructura_gobierno||||||||2023-11-24||9||0||0.0||TMP||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||OGA_BITACORA_PROCESOS||||||||2023-06-08||13||0||0.0||TRB||2025-05-12||P||0.0
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||PRODUCTOS_POR_SEGMENTOS_REPORT||||||||2021-12-13||5||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||CAMPAÑAS||BGGRUPO\fpiguave||TMP_NOMINA2||||fpiguave||||2024-08-22||4||0||0.0||TMP||2025-05-12||P||49.42
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||BASE_ENVIADA_THALIA||||||||2021-08-06||19||3||0.157894||TRB||2025-05-12||P||29.98
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||IDEAL_DAP||||||||2023-03-07||7||0||0.0||TRB||2025-05-12||P||0.0
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_MASTER_DB_JP||||||||2024-02-06||13||0||0.0||TRB||2025-05-12||P||195.19
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_NuevasTarjetas_Reposicion_JA||||jalvarez||||2024-04-18||9||1||0.111111||TRB||2025-05-12||P||48.46
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_PROVINCIAS_SEG_JA||||jalvarez||||2024-04-29||4||0||0.0||TRB||2025-05-12||P||0.05
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_SORTEO_KARE_TOUS_NOV_JA||||jalvarez||||2024-11-05||10||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_SORTEO_MI_JUGUETERIA_ENE_2025_JA||||jalvarez||||2025-01-24||10||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TEMP_TRAMO_RPATINO1||||rpatino1||||2025-03-24||2||0||0.0||TMP||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||BASE_CREDITO_DISTRIBUIDOR_MACOSER_072024||||sdiaz||||2024-08-15||3||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||Data_Supermetrics_Marketing_XAds_All_Accounts_MARK_TD_ES_RESP||||sdiaz||||2024-11-19||20||0||0.0||TRB||2025-05-12||P||33.49
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||IMPRESION_FACT_PETROLRIOS||||sdiaz||||2024-08-26||29||0||0.0||TRB||2025-05-12||P||0.09
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||TEMP_MJZF_TARJETAS_TC_desgr_yl||||mzambrano10||||2025-02-15||9||0||0.0||TMP||2025-05-12||P||71.91
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||ANALYTICS||NECESIDADES_CLIENTES_INC_ene25||||acarrion||||2025-02-10||7||0||0.0||TRB||2025-05-12||P||185.16
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TB_BASE_SEG_BINES_ac||||acarrion||||2024-04-08||4||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TBL_SG_TAB_CASOS_DERIV_ac||||acarrion||||2024-07-12||3||0||0.0||TRB||2025-05-12||P||0.03
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_AUD_AVANCE_EFECTIVO_SEPT_PRIORI_JA||||jalvarez||||2024-10-28||2||0||0.0||TRB||2025-05-12||P||4.12
